time unit: x 10-8 s 
facebook_combined, node=4039, edge=88234
Black%	BFS	blackBFS
1%	9831418	261086
2%	9707006	393604
3%	9832879	534114
4%	9813230	697114
5%	9829634	880749
10%	9790700	1254124
15%	9872671	1737571
20%	10114163	2268365
---------------------------------------
facebook_large, node=22470, edge=171002
Black%	BFS	blackBFS
1%	13102179	412312
2%	13764125	530127
3%	13447218	760525
4%	13534415	1070846
5%	13675894	1441508
10%	13837389	2126439
15%	13806614	2994162
20%	13507964	4004185
---------------------------------------
com-dblp, node=317080, edge=1049866
Black%	BFS	blackBFS
1%	43566043	4354794
2%	45616935	7879456
3%	47101506	11667944
4%	47154344	15284365
5%	47122635	18517523
10%	46899153	21575783
15%	48046379	21339571
20%	47628756	21209149
---------------------------------------
github_developer, node=37700, edge=289003
Black%	BFS	blackBFS
1%	118747384	81289127
2%	119166014	80947012
3%	118895596	80533386
4%	119248759	80457871
5%	119100419	81485271
10%	118957158	80699261
15%	120524466	82240780
